inference_time (millisec),conf_scores,class_names,bboxes
0.018095016479492188,"[88, 85, 83]","['person', 'person', 'person']","[[613, 150, 639, 261], [289, 156, 319, 260], [8, 142, 84, 284]]"
0.019694805145263672,"[86, 86, 84, 82]","['person', 'person', 'person', 'person']","[[8, 142, 81, 286], [614, 149, 639, 260], [282, 157, 320, 260], [567, 156, 601, 253]]"
0.019022226333618164,"[85, 83, 82, 82]","['person', 'person', 'person', 'person']","[[615, 149, 639, 260], [278, 157, 319, 260], [567, 155, 598, 253], [9, 142, 80, 285]]"
0.01906752586364746,"[86, 85, 82]","['person', 'person', 'person']","[[274, 157, 319, 260], [614, 147, 639, 260], [9, 141, 79, 285]]"
0.0189971923828125,"[87, 85, 84]","['person', 'person', 'person']","[[271, 157, 318, 261], [611, 147, 639, 259], [224, 172, 252, 260]]"
0.02010035514831543,"[86, 85, 81]","['person', 'person', 'person']","[[271, 157, 318, 261], [9, 140, 76, 285], [223, 172, 250, 260]]"
0.020499706268310547,"[87, 87]","['person', 'person']","[[271, 157, 315, 261], [2, 140, 72, 285]]"
0.020089149475097656,"[88, 84]","['person', 'person']","[[271, 157, 312, 261], [3, 140, 65, 285]]"
0.01853632926940918,"[87, 83, 82]","['person', 'person', 'person']","[[270, 156, 307, 261], [2, 140, 58, 284], [600, 148, 635, 254]]"
0.019969701766967773,"[85, 82, 81]","['person', 'person', 'person']","[[270, 156, 302, 261], [0, 140, 50, 284], [214, 172, 245, 261]]"
0.01934981346130371,"[88, 87, 85, 81]","['person', 'person', 'person', 'person']","[[268, 156, 293, 261], [598, 148, 639, 254], [0, 139, 45, 284], [210, 172, 243, 260]]"
0.02036881446838379,"[87, 86, 84]","['person', 'person', 'person']","[[598, 147, 639, 254], [266, 156, 290, 261], [0, 140, 43, 284]]"
0.019098758697509766,"[90, 85, 83, 81]","['person', 'person', 'person', 'person']","[[598, 146, 639, 253], [264, 156, 289, 261], [0, 140, 41, 285], [540, 156, 581, 253]]"
0.018599510192871094,"[90, 84]","['person', 'person']","[[598, 146, 639, 254], [262, 156, 288, 262]]"
0.019542694091796875,"[87, 84, 82]","['person', 'person', 'person']","[[598, 146, 638, 253], [255, 156, 287, 261], [541, 154, 581, 253]]"
0.019046783447265625,"[86, 85, 83]","['person', 'person', 'person']","[[597, 145, 633, 254], [248, 156, 287, 261], [538, 154, 579, 253]]"
0.01887798309326172,"[86, 84, 81]","['person', 'person', 'person']","[[242, 156, 287, 261], [536, 153, 575, 253], [593, 145, 627, 255]]"
0.01946425437927246,"[87, 83, 81]","['person', 'person', 'person']","[[239, 156, 287, 261], [591, 145, 623, 255], [535, 154, 569, 253]]"
