inference_time (millisec),conf_scores,class_names,bboxes
156.7847728729248,[87],['person'],"[[405, 176, 444, 270]]"
159.84225273132324,[89],['person'],"[[402, 179, 442, 271]]"
155.34591674804688,[],[],[]
152.78053283691406,[],[],[]
153.5940170288086,[94],['person'],"[[208, 94, 306, 304]]"
151.44729614257812,"[95, 86]","['person', 'person']","[[212, 94, 300, 304], [342, 166, 381, 266]]"
156.10885620117188,"[95, 86]","['person', 'person']","[[199, 98, 295, 301], [339, 165, 379, 263]]"
159.16824340820312,"[87, 85]","['person', 'person']","[[339, 165, 377, 264], [200, 97, 286, 301]]"
157.96422958374023,"[92, 91]","['person', 'person']","[[336, 166, 378, 263], [196, 93, 275, 303]]"
157.34362602233887,[87],['person'],"[[191, 92, 269, 300]]"
159.06667709350586,[84],['person'],"[[188, 96, 270, 300]]"
157.34624862670898,[81],['person'],"[[505, 118, 552, 268]]"
158.30636024475098,"[88, 81]","['person', 'person']","[[372, 181, 413, 270], [448, 155, 483, 261]]"
159.60121154785156,[],[],[]
154.7102928161621,[84],['person'],"[[446, 154, 481, 264]]"
154.94585037231445,[],[],[]
155.5476188659668,[88],['person'],"[[437, 157, 478, 269]]"
157.6697826385498,[94],['person'],"[[429, 156, 478, 274]]"
159.8379611968994,[87],['person'],"[[428, 155, 475, 272]]"
159.96193885803223,[],[],[]
155.20763397216797,[85],['person'],"[[119, 92, 227, 305]]"
158.63466262817383,[],[],[]
159.35850143432617,[],[],[]
158.83374214172363,[80],['person'],"[[116, 94, 200, 306]]"
156.59809112548828,[82],['person'],"[[549, 164, 582, 257]]"
157.61804580688477,"[84, 82, 81]","['person', 'person', 'person']","[[547, 164, 580, 258], [267, 134, 310, 288], [339, 181, 375, 269]]"
157.7458381652832,"[83, 80]","['person', 'person']","[[546, 165, 578, 257], [269, 141, 313, 282]]"
158.2510471343994,[],[],[]
156.80646896362305,[],[],[]
158.02001953125,[82],['person'],"[[407, 159, 440, 272]]"
163.71655464172363,"[94, 87, 81]","['person', 'person', 'person']","[[402, 154, 440, 274], [478, 146, 514, 269], [67, 98, 167, 300]]"
204.1628360748291,"[91, 89, 85]","['person', 'person', 'person']","[[68, 99, 167, 303], [401, 151, 440, 276], [475, 143, 513, 271]]"
