inference_time,conf_scores,class_names,bboxes
3.2266170978546143,"[100, 100, 100, 100, 99, 99, 91, 84, 83]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[44, 161, 95, 277], [95, 134, 153, 281], [449, 101, 510, 295], [402, 127, 466, 286], [570, 172, 588, 248], [544, 157, 575, 256], [535, 181, 555, 251], [349, 134, 452, 284], [505, 171, 533, 259]]"
2.9831061363220215,"[100, 100, 100, 99, 99, 99, 97, 92, 88, 88]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag']","[[43, 161, 93, 276], [95, 133, 152, 282], [447, 99, 508, 294], [569, 172, 589, 248], [397, 126, 460, 284], [544, 160, 574, 257], [502, 170, 530, 256], [535, 179, 556, 253], [340, 207, 406, 283], [136, 200, 152, 234]]"
3.590041160583496,"[100, 100, 100, 100, 100, 99, 99, 97, 87]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[48, 163, 97, 275], [93, 135, 156, 281], [444, 99, 506, 294], [395, 127, 456, 288], [567, 171, 591, 248], [542, 158, 572, 259], [497, 169, 526, 261], [339, 211, 403, 289], [536, 178, 555, 253]]"
3.8410496711730957,"[100, 100, 100, 100, 100, 99, 95, 84]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[92, 136, 159, 280], [54, 162, 100, 277], [438, 100, 506, 292], [566, 170, 593, 248], [392, 128, 455, 290], [540, 157, 571, 259], [495, 171, 522, 258], [336, 131, 431, 286]]"
4.362917900085449,"[100, 100, 100, 100, 100, 100, 97, 91, 86, 85]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[93, 137, 161, 279], [64, 163, 104, 276], [435, 101, 503, 295], [538, 157, 570, 261], [566, 170, 593, 250], [388, 133, 453, 291], [492, 169, 519, 258], [326, 205, 397, 288], [407, 125, 478, 290], [518, 206, 534, 251]]"
3.124504566192627,"[100, 100, 100, 100, 100, 100, 98, 97, 87]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[98, 137, 159, 280], [71, 162, 107, 270], [435, 101, 501, 295], [565, 170, 593, 251], [534, 157, 571, 262], [383, 133, 449, 292], [491, 171, 517, 259], [325, 206, 402, 289], [519, 208, 534, 251]]"
3.250023603439331,"[100, 100, 100, 100, 100, 100, 98, 88, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[377, 133, 449, 292], [102, 135, 163, 281], [75, 162, 112, 275], [566, 169, 592, 250], [432, 100, 496, 294], [532, 157, 571, 263], [490, 168, 515, 260], [322, 206, 391, 283], [627, 164, 639, 270]]"
3.006470203399658,"[100, 100, 100, 100, 100, 100, 98, 84, 82]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[565, 169, 592, 251], [77, 161, 116, 275], [376, 132, 446, 292], [428, 97, 491, 294], [531, 157, 570, 263], [107, 136, 163, 281], [486, 169, 514, 258], [518, 208, 534, 251], [174, 189, 186, 215]]"
4.290226221084595,"[100, 100, 100, 100, 100, 100, 99, 98, 89, 86, 80]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'horse']","[[78, 160, 118, 275], [565, 169, 593, 252], [423, 94, 482, 293], [112, 136, 165, 280], [375, 133, 448, 293], [531, 158, 571, 263], [621, 145, 639, 272], [483, 168, 513, 259], [517, 202, 534, 251], [174, 190, 187, 219], [317, 207, 392, 290]]"
2.924753189086914,"[100, 100, 100, 100, 100, 100, 99, 99, 93, 93, 84]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[422, 93, 477, 290], [564, 169, 593, 252], [80, 162, 124, 275], [532, 157, 571, 263], [120, 133, 167, 281], [368, 131, 443, 292], [620, 141, 639, 271], [480, 168, 509, 260], [465, 172, 490, 260], [518, 206, 534, 251], [174, 189, 187, 216]]"
3.637998342514038,"[100, 100, 100, 100, 100, 100, 99, 97, 94, 84]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[81, 163, 130, 275], [563, 168, 593, 251], [124, 135, 166, 280], [531, 157, 571, 263], [418, 94, 470, 290], [363, 131, 431, 287], [476, 168, 507, 260], [620, 140, 639, 271], [517, 206, 534, 251], [463, 181, 489, 266]]"
3.200991153717041,"[100, 100, 100, 100, 100, 100, 99, 95, 95, 88, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[82, 162, 130, 275], [563, 168, 593, 251], [361, 129, 429, 291], [409, 92, 466, 295], [531, 156, 570, 262], [126, 133, 166, 281], [477, 168, 507, 257], [517, 205, 534, 251], [618, 146, 639, 273], [174, 189, 186, 214], [159, 190, 172, 262]]"
